ch_Species Acp_g Bcp_g Ccp_g Dcp_g Ecp_g AcpH_g BcpH_g CcpH_g DcpH_g EcpH_g Tmin Tmed Tmax Amu_g Bmu_g Cmu_g Ak_g Bk_g Ck_g Ad Bd Cd
3-ethyl-2,2,3-trimethylpentane -1.4187 0.10116 -3.3606e-05 -1.8693e-08 1.1635e-11 19.1407 0.060024 -2.4243e-05 4.4847e-09 -3.1259e-13 100 1089.79 5000 0 0 0 0 0 0 0 0 0
3-ethyl-2,2,4-trimethylpentane -1.4187 0.10116 -3.3606e-05 -1.8693e-08 1.1635e-11 19.1407 0.060024 -2.4243e-05 4.4847e-09 -3.1259e-13 100 1089.79 5000 0 0 0 0 0 0 0 0 0
4-ethyl-2,2-dimethylhexane -1.4187 0.10116 -3.3606e-05 -1.8693e-08 1.1635e-11 19.1407 0.060024 -2.4243e-05 4.4847e-09 -3.1259e-13 100 1089.79 5000 0 0 0 0 0 0 0 0 0
3-ethyl-2,2-dimethylhexane -2.3245 0.12112 -6.5659e-05 1.0565e-08 1.6184e-12 21.9948 0.065711 -2.6735e-05 4.8777e-09 -3.3349e-13 100 1234.77 5000 0 0 0 0 0 0 0 0 0
3-ethyl-2,3,4-trimethylpentane -2.2203 0.11969 -6.7635e-05 1.5315e-08 -3.0965e-13 21.2071 0.065629 -2.606e-05 4.6647e-09 -3.1423e-13 100 1299.82 5000 0 0 0 0 0 0 0 0 0
4-ethyl-2,3-dimethylhexane -2.2203 0.11969 -6.7635e-05 1.5315e-08 -3.0965e-13 21.2071 0.065629 -2.606e-05 4.6647e-09 -3.1423e-13 100 1299.82 5000 0 0 0 0 0 0 0 0 0
3-ethyl-2,3-dimethylhexane -2.2203 0.11969 -6.7635e-05 1.5315e-08 -3.0965e-13 21.2071 0.065629 -2.606e-05 4.6647e-09 -3.1423e-13 100 1299.82 5000 0 0 0 0 0 0 0 0 0
4-ethyl-2,4-dimethylhexane -2.3245 0.12112 -6.5659e-05 1.0565e-08 1.6184e-12 21.9948 0.065711 -2.6735e-05 4.8777e-09 -3.3349e-13 100 1234.77 5000 0 0 0 0 0 0 0 0 0
3-ethyl-2,4-dimethylhexane -2.2203 0.11969 -6.7635e-05 1.5315e-08 -3.0965e-13 21.2071 0.065629 -2.606e-05 4.6647e-09 -3.1423e-13 100 1299.82 5000 0 0 0 0 0 0 0 0 0
3-ethyl-2,5-dimethylhexane -2.2203 0.11969 -6.7635e-05 1.5315e-08 -3.0965e-13 21.2071 0.065629 -2.606e-05 4.6647e-09 -3.1423e-13 100 1299.82 5000 0 0 0 0 0 0 0 0 0
4-ethyl-2-methylheptane -2.2203 0.11969 -6.7635e-05 1.5315e-08 -3.0965e-13 21.2071 0.065629 -2.606e-05 4.6647e-09 -3.1423e-13 100 1299.82 5000 0 0 0 0 0 0 0 0 0
5-ethyl-2-methylheptane -2.2203 0.11969 -6.7635e-05 1.5315e-08 -3.0965e-13 21.2071 0.065629 -2.606e-05 4.6647e-09 -3.1423e-13 100 1299.82 5000 0 0 0 0 0 0 0 0 0
3-ethyl-2-methylheptane -2.3245 0.12112 -6.5659e-05 1.0565e-08 1.6184e-12 21.9948 0.065711 -2.6735e-05 4.8777e-09 -3.3349e-13 100 1234.77 5000 0 0 0 0 0 0 0 0 0
4-ethyl-3,3-dimethylhexane -2.2203 0.11969 -6.7635e-05 1.5315e-08 -3.0965e-13 21.2071 0.065629 -2.606e-05 4.6647e-09 -3.1423e-13 100 1299.82 5000 0 0 0 0 0 0 0 0 0
3-ethyl-3,4-dimethylhexane -2.2614 0.11602 -3.9183e-05 -2.3211e-08 1.4482e-11 23.0022 0.064715 -2.6455e-05 4.9466e-09 -3.4766e-13 100 1081.66 5000 0 0 0 0 0 0 0 0 0
4-ethyl-3-methylheptane -2.1039 0.11404 -3.9595e-05 -2.0027e-08 1.3043e-11 21.3254 0.066 -2.6511e-05 4.8969e-09 -3.4137e-13 100 1081.73 5000 0 0 0 0 0 0 0 0 0
3-ethyl-3-methylheptane -2.1979 0.11743 -5.2316e-05 -4.8636e-09 7.2815e-12 21.2229 0.066529 -2.6984e-05 4.968e-09 -3.4385e-13 100 1133.25 5000 0 0 0 0 0 0 0 0 0
3-ethyl-4-methylheptane -2.1979 0.11743 -5.2316e-05 -4.8636e-09 7.2815e-12 21.2229 0.066529 -2.6984e-05 4.968e-09 -3.4385e-13 100 1133.25 5000 0 0 0 0 0 0 0 0 0
4-ethyl-4-methylheptane -2.1039 0.11404 -3.9595e-05 -2.0027e-08 1.3043e-11 21.3254 0.066 -2.6511e-05 4.8969e-09 -3.4137e-13 100 1081.73 5000 0 0 0 0 0 0 0 0 0
3-ethyl-5-methylheptane -2.0519 0.11558 -5.3131e-05 -1.2201e-09 5.6741e-12 19.6522 0.067644 -2.6946e-05 4.8968e-09 -3.3582e-13 100 1143.78 5000 0 0 0 0 0 0 0 0 0
4-ethyloctane -2.1979 0.11743 -5.2316e-05 -4.8636e-09 7.2815e-12 21.2229 0.066529 -2.6984e-05 4.968e-09 -3.4385e-13 100 1133.25 5000 0 0 0 0 0 0 0 0 0
3-ethyloctane -2.1979 0.11743 -5.2316e-05 -4.8636e-09 7.2815e-12 21.2229 0.066529 -2.6984e-05 4.968e-09 -3.4385e-13 100 1133.25 5000 0 0 0 0 0 0 0 0 0
3-isopropyl-2-methylhexane -2.0519 0.11558 -5.3131e-05 -1.2201e-09 5.6741e-12 19.6522 0.067644 -2.6946e-05 4.8968e-09 -3.3582e-13 100 1143.78 5000 0 0 0 0 0 0 0 0 0
