ch_Species Arho Brho n Acp Bcp Ccp Dcp
2,6-dimethylnonane 0.2444 0.2645 0.2857 209.131 0.8642 -0.0023721 3.1957e-06 
3,3-dimethylnonane 0.2441 0.2623 0.2857 196.555 0.9239 -0.0024643 3.1818e-06 
3,7-dimethylnonane 0.2444 0.2627 0.2857 211.388 0.8473 -0.002305 3.0943e-06 
2,4-dimethylnonane 0.2444 0.2652 0.2857 208.802 0.8667 -0.0023829 3.2126e-06 
2,3-dimethylnonane 0.2444 0.2629 0.2857 212.72 0.8373 -0.0022686 3.0417e-06 
2,2-dimethylnonane 0.2441 0.2671 0.2857 197.56 0.9165 -0.0024486 3.1677e-06 
4,5-dimethylnonane 0.2444 0.2606 0.2857 209.211 0.8637 -0.0023615 3.1734e-06 
4,6-dimethylnonane 0.2444 0.2621 0.2857 208.035 0.8726 -0.002398 3.2294e-06 
5,5-dimethylnonane 0.2441 0.2616 0.2857 192.691 0.9536 -0.002569 3.3269e-06 
2,7-dimethylnonane 0.2444 0.2645 0.2857 209.752 0.8595 -0.0023546 3.17e-06 
2,8-dimethylnonane 0.2444 0.2684 0.2857 213.339 0.8324 -0.0022623 3.0417e-06 
5-ethylnonane 0.2422 0.258 0.2857 197.958 0.9825 -0.0027045 3.5449e-06 
4-ethylnonane 0.2422 0.2586 0.2857 201.144 0.9579 -0.0026162 3.4208e-06 
3-ethylnonane 0.2422 0.2591 0.2857 204.125 0.9352 -0.0025345 3.3057e-06 
2,2,3,3,4,4-hexamethylpentane 0.2527 0.2535 0.2857 205.261 0.6647 -0.0016253 2.1374e-06 
4-isopropyloctane 0.2444 0.2594 0.2857 206.151 0.887 -0.0024458 3.2946e-06 
2-methyl-3,3-diethylhexane 0.2464 0.2512 0.2857 202.153 0.8489 -0.0022508 2.9698e-06 
2-methyl-3,4-diethylhexane 0.2467 0.2559 0.2857 212.689 0.8044 -0.0022119 3.0562e-06 
3-methyl-3,4-diethylhexane 0.2464 0.2512 0.2857 202.153 0.8489 -0.0022508 2.9698e-06 
2-methyl-3-ethyloctane 0.2444 0.2599 0.2857 208.885 0.8662 -0.0023692 3.1833e-06 
4-methyl-3-ethyloctane 0.2444 0.2574 0.2857 208.402 0.87 -0.0023777 3.1915e-06 
3-methyl-3-ethyloctane 0.2441 0.2589 0.2857 197.43 0.917 -0.0024325 3.1322e-06 
2-methyl-3-isopropylheptane 0.2467 0.2614 0.2857 214.608 0.7897 -0.0021681 2.9997e-06 
3-methyl-4,4-diethylhexane 0.2464 0.2491 0.2857 203.607 0.838 -0.002207 2.9038e-06 
2-methyl-4,4-diethylhexane 0.2464 0.2556 0.2857 199.837 0.8666 -0.0023245 3.0825e-06 
3-methyl-4-ethyloctane 0.2444 0.2574 0.2857 207.74 0.875 -0.0023962 3.2183e-06 
2-methyl-4-ethyloctane 0.2444 0.2617 0.2857 205.949 0.8885 -0.0024568 3.3149e-06 
4-methyl-4-ethyloctane 0.2346 0.2467 0.2785 192.383 0.9556 -0.0025651 3.3134e-06 
4-methyl-4-isopropylheptane 0.2358 0.2466 0.2758 200.508 0.8615 -0.0023061 3.0562e-06 
2-methyl-4-isopropylheptane 0.2575 0.2742 0.2977 211.602 0.8123 -0.0022576 3.1373e-06 
3-methyl-4-isopropylheptane 0.2353 0.2474 0.2729 212.542 0.8054 -0.0022208 3.0737e-06 
3-methyl-4-propylheptane 0.2444 0.257 0.2857 205.665 0.8908 -0.0024543 3.3027e-06 
2-methyl-4-propylheptane 0.2444 0.2616 0.2857 204.569 0.8991 -0.0024963 3.3724e-06 
4-methyl-4-propylheptane 0.2441 0.2566 0.2857 190.84 0.9675 -0.0026074 3.3721e-06 
2-methyl-5-ethyloctane 0.2444 0.262 0.2857 207.365 0.8777 -0.0024169 3.257e-06 
4-methyl-5-ethyloctane 0.2444 0.2571 0.2857 206.343 0.8856 -0.0024351 3.2748e-06 
3-methyl-5-ethyloctane 0.2444 0.2604 0.2857 205.334 0.8933 -0.0024715 3.3341e-06 
4-methyl-6-ethyloctane 0.2369 0.2526 0.2777 207.558 0.8763 -0.0024063 3.2374e-06 
3-methyl-6-ethyloctane 0.2435 0.2597 0.2852 208.885 0.8662 -0.0023692 3.1833e-06 
2-methyl-6-ethyloctane 0.2427 0.2604 0.2843 210.093 0.857 -0.0023408 3.1465e-06 
4-methyldecane 0.2872 0.3101 0.3352 213.451 0.8662 -0.0023645 3.1596e-06 
2-methyldecane 0.3463 0.3668 0.4513 194.727 1.0033 -0.002674 3.3668e-06 
3-methyldecane 0.2422 0.262 0.2857 215.111 0.8539 -0.0023227 3.1033e-06 
5-methyldecane 0.2422 0.2614 0.2857 203.915 0.9367 -0.0025454 3.3253e-06 
2,3,3,4,5-pentamethylhexane 0.2414 0.2492 0.2686 215.574 0.6836 -0.0018031 2.5223e-06 
2,2,3,4,5-pentamethylhexane 0.2387 0.2512 0.2694 213.78 0.6967 -0.001861 2.6168e-06 
2,2,3,3,5-pentamethylhexane 0.2331 0.2435 0.2692 199.575 0.7709 -0.0020317 2.7452e-06 
2,2,3,3,4-pentamethylhexane 0.2741 0.2794 0.3102 205.476 0.7262 -0.0018638 2.4969e-06 
2,2,3,5,5-pentamethylhexane 0.2972 0.316 0.3379 200.312 0.7663 -0.0020307 2.7546e-06 
2,2,4,4,5-pentamethylhexane 0.2507 0.2638 0.2857 204.255 0.7359 -0.0019129 2.5779e-06 
2,2,3,4,4-pentamethylhexane 0.2507 0.2569 0.2857 206.82 0.7164 -0.0018301 2.4491e-06 
2,3,3,4,4-pentamethylhexane 0.2507 0.2538 0.2857 206.097 0.7215 -0.0018426 2.4632e-06 
4-propyloctane 0.243 0.2586 0.2863 198.721 0.9766 -0.0026864 3.522e-06 
4-tert-butylheptane 0.2464 0.2602 0.2857 198.788 0.8749 -0.002365 3.1481e-06 
2,2,4,4-tetramethyl-3-ethylpentane 0.2507 0.2589 0.2857 204.463 0.734 -0.0018966 2.548e-06 
2,2,3,4-tetramethyl-3-ethylpentane 0.2507 0.2537 0.2857 205.559 0.7255 -0.0018567 2.4833e-06 
2,2,6,6-tetramethylheptane 0.2483 0.2732 0.2857 193.122 0.8538 -0.0022847 3.0245e-06 
2,3,3,5-tetramethylheptane 0.2487 0.262 0.2857 208.216 0.771 -0.0020645 2.8197e-06 
2,3,3,4-tetramethylheptane 0.2487 0.2573 0.2857 209.622 0.7604 -0.002016 2.7412e-06 
2,2,3,4-tetramethylheptane 0.2487 0.262 0.2857 208.216 0.771 -0.0020645 2.8197e-06 
