ch_Species Arho Brho n Acp Bcp Ccp Dcp
2,2,3,5-tetramethylnonane 0.1892 0.1923 0.2537 187.903 1.3773 -0.0038145 4.6045e-06 
2,2,5,7-tetramethylnonane 0.2013 0.2115 0.2537 287.042 0.5969 -0.0017163 2.7456e-06 
2,3,4,4-tetramethylnonane 0.2234 0.2261 0.2803 263.849 0.7677 -0.0021508 3.0578e-06 
2,3,5,6-tetramethylnonane 0.2331 0.2429 0.277 325.737 0.2707 -0.00059996 1.5062e-06 
2,3,5,8-tetramethylnonane 0.1998 0.212 0.2429 306.853 0.4423 -0.0010617 1.9134e-06 
2,3,6,6-tetramethylnonane 0.2332 0.242 0.2861 273.446 0.685 -0.001877 2.7919e-06 
2,3,6,8-tetramethylnonane 0.1974 0.2093 0.2444 312.244 0.3948 -0.00095159 1.8403e-06 
2,3,7,7-tetramethylnonane 0.2209 0.2282 0.2758 301.166 0.4555 -0.0012605 2.2323e-06 
2,4,5,6-tetramethylnonane 0.1656 0.1736 0.2109 301.788 0.462 -0.0011161 1.9521e-06 
2,5,5,7-tetramethylnonane 0.212 0.2198 0.2653 263.136 0.77 -0.0021515 3.091e-06 
2,5,6,7-tetramethylnonane 0.2348 0.2444 0.2788 285.88 0.6072 -0.001523 2.3281e-06 
3,3,5,5-tetramethylnonane 0.071 0.0722 0.1507 14.978 2.6648 -0.007122 7.4361e-06 
3,3,6,7-tetramethylnonane 0.2335 0.2394 0.2913 280.967 0.6343 -0.0017685 2.7477e-06 
3,4,4,7-tetramethylnonane 0.2503 0.2525 0.3119 266.995 0.7464 -0.002069 3.0059e-06 
3,4,6,6-tetramethylnonane 0.2006 0.2055 0.2579 279.451 0.6357 -0.0018036 2.7983e-06 
3,5,5,6-tetramethylnonane 0.2293 0.2301 0.2908 287.42 0.5839 -0.0017068 2.7276e-06 
3,4,6,7-tetramethylnonane 0.1702 0.178 0.2158 316.161 0.3804 -0.00090688 1.8008e-06 
3,4,5,7-tetramethylnonane 0.2379 0.2459 0.2806 293.694 0.5385 -0.001314 2.1129e-06 
2,4,5,7-tetramethylnonane 0.1696 0.179 0.2146 312.808 0.3754 -0.00089414 1.804e-06 
2,4,5,8-tetramethylnonane 0.2027 0.2143 0.2497 320.54 0.3271 -0.00076064 1.6763e-06 
2,4,6,7-tetramethylnonane 0.1825 0.1928 0.2268 302.786 0.4532 -0.0010871 1.9264e-06 
2,2,3,3-tetramethylnonane 0.1198 0.1227 0.1846 168.544 1.4833 -0.0039518 4.4998e-06 
2,2,3,6-tetramethylnonane 0.1816 0.1891 0.2355 258.082 0.8239 -0.0022665 3.1175e-06 
2,3,3,6-tetramethylnonane 0.2314 0.2362 0.2878 249.603 0.8818 -0.0024389 3.316e-06 
2,3,3,8-tetramethylnonane 0.2343 0.2412 0.2897 231.459 1.014 -0.0027533 3.5466e-06 
2,3,4,6-tetramethylnonane 0.2351 0.2441 0.2825 316.654 0.3418 -0.00080451 1.6949e-06 
2,3,5,7-tetramethylnonane 0.1993 0.21 0.2431 297.77 0.4984 -0.0012107 2.0413e-06 
2,4,6,6-tetramethylnonane 0.1928 0.2007 0.2475 267.116 0.7487 -0.0021349 3.1092e-06 
3,3,4,5-tetramethylnonane 0.2302 0.2297 0.2936 240.627 0.9512 -0.0026231 3.4944e-06 
3,3,4,7-tetramethylnonane 0.2335 0.237 0.2928 267.342 0.7359 -0.0020051 2.8985e-06 
3,3,5,7-tetramethylnonane 0.2037 0.2096 0.2592 245.296 0.9122 -0.0025325 3.4421e-06 
3,4,4,5-tetramethylnonane 0.1462 0.1455 0.2125 138.094 1.7275 -0.0046142 5.1855e-06 
2,3,4,7-tetramethylnonane 0.2345 0.244 0.2798 326.425 0.2706 -0.00060397 1.5141e-06 
2,4,4,8-tetramethylnonane 0.2048 0.2136 0.2613 285.401 0.6215 -0.001844 2.8919e-06 
2,3,3,5,5-pentamethyloctane 0.2196 0.2177 0.2889 35.678 2.3519 -0.005893 5.9314e-06 
3,3,4,5,6-pentamethyloctane 0.1222 0.1239 0.1821 268.434 0.7071 -0.0019448 2.8371e-06 
2,3,4,5,6-pentamethyloctane 0.2362 0.2405 0.2815 361.004 -0.0214 9.0204e-05 9.481e-07 
2,3,3,6,6-pentamethyloctane 0.2283 0.2315 0.2857 173.266 1.334 -0.0032832 3.6865e-06 
2,2,5,6,6-pentamethyloctane 0.1766 0.1821 0.2329 230.561 0.9055 -0.0022326 2.8622e-06 
2,3,4,5,5-pentamethyloctane 0.2369 0.2393 0.2863 291.663 0.5089 -0.0013772 2.2881e-06 
2,2,4,4,6-pentamethyloctane 0.2224 0.2234 0.2945 44.461 2.3273 -0.0059863 6.18e-06 
2,3,3,4,4-pentamethyloctane 0.23 0.2157 0.3179 -135.482 3.546 -0.0088069 8.3449e-06 
2,3,4,4,5-pentamethyloctane 0.2367 0.235 0.2918 251.217 0.8161 -0.0021992 3.0033e-06 
2,2,3,4,5-pentamethyloctane 0.1255 0.1291 0.1834 284.129 0.5947 -0.0016815 2.6046e-06 
2,2,3,4,6-pentamethyloctane 0.2293 0.2357 0.2767 288.335 0.5573 -0.0015393 2.442e-06 
2,2,3,5,7-pentamethyloctane 0.2357 0.2468 0.2796 275.267 0.6537 -0.001742 2.5657e-06 
2,2,4,5,6-pentamethyloctane 0.236 0.2445 0.2832 286.758 0.5694 -0.00155 2.4406e-06 
2,2,4,6,6-pentamethyloctane 0.1653 0.1711 0.2252 147.497 1.5536 -0.0039618 4.3962e-06 
2,3,3,5,7-pentamethyloctane 0.2347 0.2438 0.2787 269.193 0.6841 -0.0018039 2.6064e-06 
2,3,3,6,7-pentamethyloctane 0.1323 0.1389 0.1828 290.255 0.5263 -0.0013992 2.2752e-06 
2,3,5,5,6-pentamethyloctane 0.2389 0.2431 0.2852 310.685 0.3632 -0.00098408 1.9196e-06 
2,3,5,5,7-pentamethyloctane 0.1736 0.1815 0.2227 268.377 0.6892 -0.0018654 2.7313e-06 
2,4,5,5,6-pentamethyloctane 0.1783 0.1822 0.2243 310.192 0.3643 -0.00098079 1.9114e-06 
3,3,4,5,5-pentamethyloctane 0.2257 0.2151 0.307 8.253 2.5499 -0.0064359 6.4563e-06 
3,3,4,6,6-pentamethyloctane 0.2148 0.2141 0.2779 128.343 1.69 -0.0042575 4.598e-06 
2,2,3,3,7-pentamethyloctane 0.236 0.2398 0.2902 256.28 0.7223 -0.0017964 2.459e-06 
2,2,4,5,5-pentamethyloctane 0.2355 0.2382 0.2972 208.493 1.0724 -0.0026678 3.2149e-06 
2,3,4,6,6-pentamethyloctane 0.2279 0.2345 0.2756 318.675 0.3077 -0.00085476 1.8424e-06 
3,3,4,4,6-pentamethyloctane 0.2259 0.2154 0.3079 -6.199 2.6529 -0.0066894 6.6676e-06 
2,2,4,5,7-pentamethyloctane 0.1542 0.1641 0.2006 243.958 0.9073 -0.0024216 3.1749e-06 
2,2,3,3,4-pentamethyloctane 0.1243 0.1221 0.1969 17.035 2.4442 -0.0060603 6.0192e-06 
2,2,3,5,6-pentamethyloctane 0.1693 0.1777 0.2123 287.704 0.5633 -0.0014794 2.2979e-06 
2,2,4,4,7-pentamethyloctane 0.1477 0.1544 0.2053 193.558 1.1964 -0.0030426 3.6045e-06 
2,3,4,4,7-pentamethyloctane 0.1758 0.1821 0.2231 339.337 0.129 -0.00036547 1.3986e-06 
2,4,4,5,7-pentamethyloctane 0.2258 0.233 0.2714 274.963 0.647 -0.0017339 2.586e-06 
3,3,4,4,5-pentamethyloctane 0.2106 0.1946 0.3026 -166.347 3.7459 -0.0092566 8.6901e-06 
2,2,3,6,7-pentamethyloctane 0.138 0.1459 0.1881 276.958 0.6421 -0.0016959 2.5078e-06 
2,4,4,5,5-pentamethyloctane 0.1268 0.1262 0.1954 14.535 2.5108 -0.0062946 6.2564e-06 
2,2,6,6,7-pentamethyloctane 0.2259 0.233 0.2815 193.488 1.2095 -0.0030412 3.5388e-06 
2,2,3,3,6-pentamethyloctane 0.2244 0.2239 0.2884 170.279 1.3456 -0.003343 3.7695e-06 
2,2,3,4,7-pentamethyloctane 0.1666 0.1753 0.2105 277.822 0.6409 -0.0017112 2.5431e-06 
2,2,5,5,7-pentamethyloctane 0.1817 0.1905 0.2352 229.51 0.9262 -0.0023337 2.981e-06 
2,3,3,4,6-pentamethyloctane 0.2355 0.238 0.2836 297.481 0.4686 -0.0012743 2.1813e-06 
2,3,3,4,7-pentamethyloctane 0.1511 0.1568 0.1991 304.217 0.4142 -0.0011096 2.0202e-06 
2,3,3,5,6-pentamethyloctane 0.233 0.2372 0.2832 317.127 0.3231 -0.00089774 1.8783e-06 
2,3,4,5,7-pentamethyloctane 0.2368 0.244 0.2854 275.452 0.6619 -0.0016703 2.45e-06 
2,3,5,6,6-pentamethyloctane 0.1629 0.1688 0.2089 296.575 0.4837 -0.0012834 2.1685e-06 
3,4,4,5,6-pentamethyloctane 0.2341 0.2293 0.2962 272.671 0.6961 -0.0019904 2.9606e-06 
2,2,4,6,7-pentamethyloctane 0.1353 0.1447 0.1851 259.426 0.7867 -0.0021059 2.9067e-06 
2,2,5,6,7-pentamethyloctane 0.1461 0.1554 0.1931 278.901 0.6291 -0.0016792 2.5352e-06 
3,3,5,5,6-pentamethyloctane 0.2365 0.2331 0.3055 48.351 2.2578 -0.0056326 5.7086e-06 
2,2,3,7,7-pentamethyloctane 0.1718 0.18 0.2253 373.597 -0.2043 0.00060565 4.422e-07 
2,4,4,6,6-pentamethyloctane 0.1378 0.1403 0.2048 59.739 2.1825 -0.0055275 5.7e-06 
2,3,3,4,5-pentamethyloctane 0.1124 0.1132 0.1771 252.756 0.8174 -0.0022426 3.09e-06 
2,3,4,4,6-pentamethyloctane 0.2279 0.2311 0.2787 300.545 0.4452 -0.0012409 2.1935e-06 
2,3,4,6,7-pentamethyloctane 0.2319 0.2404 0.2784 312.091 0.3907 -0.00098001 1.8974e-06 
2,2,4,7,7-pentamethyloctane 0.1268 0.1346 0.1858 368.566 -0.1674 0.00049284 5.9308e-07 
2,2,3,5,5-pentamethyloctane 0.1822 0.1849 0.246 159.564 1.4494 -0.0036508 4.0775e-06 
2,2,3,6,6-pentamethyloctane 0.1479 0.1536 0.2059 173.806 1.3443 -0.0033373 3.7716e-06 
2,2,5,5,6-pentamethyloctane 0.1498 0.1559 0.2045 245.396 0.7896 -0.0019191 2.5831e-06 
2,4,4,5,6-pentamethyloctane 0.2236 0.2279 0.2722 308.065 0.3893 -0.0010804 2.0459e-06 
2,4,5,6,6-pentamethyloctane 0.2341 0.239 0.2795 297.282 0.4743 -0.0012839 2.1999e-06 
3,4,4,5,5-pentamethyloctane 0.2332 0.2236 0.3016 22.888 2.4212 -0.0060069 5.972e-06 
2,2,3,4,6,6-hexamethylheptane 0.2343 0.2412 0.2839 178.845 1.2949 -0.0033131 3.8274e-06 
2,2,4,4,6,6-hexamethylheptane 0.2099 0.2164 0.2734 228.048 0.9053 -0.0023512 3.0696e-06 
2,3,3,5,5,6-hexamethylheptane 0.2323 0.2308 0.2882 126.071 1.7275 -0.0043731 4.6532e-06 
2,2,3,5,5,6-hexamethylheptane 0.2211 0.2234 0.2759 168.367 1.357 -0.0034652 3.9318e-06 
2,2,3,3,4,5-hexamethylheptane 0.2354 0.2295 0.2935 63.356 2.0662 -0.0050325 5.0405e-06 
2,3,4,4,5,5-hexamethylheptane 0.2309 0.2253 0.2819 126.275 1.6176 -0.0039417 4.1331e-06 
2,2,3,3,5,6-hexamethylheptane 0.2377 0.2379 0.2925 149.867 1.464 -0.0036508 4.0022e-06 
2,2,3,4,5,6-hexamethylheptane 0.2388 0.2409 0.291 230.31 0.8978 -0.0022279 2.8565e-06 
2,3,3,4,4,6-hexamethylheptane 0.2238 0.2207 0.2781 171.253 1.3017 -0.0032536 3.6496e-06 
2,2,3,3,6,6-hexamethylheptane 0.2353 0.2404 0.2896 263.943 0.5959 -0.0014621 2.199e-06 
2,2,3,5,6,6-hexamethylheptane 0.2352 0.2413 0.2841 223.197 1.0151 -0.0025951 3.2475e-06 
3,3,4,4,5,5-hexamethylheptane 0.2508 0.2403 0.3004 196.632 1.0577 -0.002479 2.8267e-06 
2,2,3,4,4,5-hexamethylheptane 0.2235 0.2195 0.2803 88.383 1.8808 -0.0045829 4.6766e-06 
2,2,4,4,5,5-hexamethylheptane 0.2022 0.203 0.2566 164.978 1.3195 -0.0032726 3.6606e-06 
2,3,4,4,5,6-hexamethylheptane 0.2255 0.2234 0.2762 234.87 0.8664 -0.0021288 2.7459e-06 
2,2,3,3,4,6-hexamethylheptane 0.236 0.2347 0.29 177.315 1.2603 -0.0031499 3.5786e-06 
2,2,4,4,5,6-hexamethylheptane 0.2007 0.2044 0.2539 187.765 1.1965 -0.003023 3.5381e-06 
2,3,3,4,5,5-hexamethylheptane 0.2313 0.226 0.2824 147.768 1.4439 -0.003489 3.7416e-06 
2,2,3,3,4,4-hexamethylheptane 0.2282 0.2191 0.2932 -17.706 2.5702 -0.006182 5.8807e-06 
2,2,3,3,5,5-hexamethylheptane 0.2186 0.2164 0.2794 105.993 1.7466 -0.0043577 4.5918e-06 
2,2,3,4,4,6-hexamethylheptane 0.2383 0.2399 0.293 136.761 1.5786 -0.0039794 4.3124e-06 
2,2,3,4,5,5-hexamethylheptane 0.2352 0.2328 0.291 120.536 1.6685 -0.0041163 4.3563e-06 
2,3,3,4,4,5-hexamethylheptane 0.2198 0.2141 0.2688 110.735 1.7256 -0.0041838 4.3068e-06 
2,3,3,4,5,6-hexamethylheptane 0.2365 0.2343 0.2892 140.128 1.5762 -0.0039478 4.2721e-06 
2,2-dimethyldodecane 0.2454 0.2655 0.2857 237.142 1.2525 -0.0031639 3.6501e-06 
2,4-dimethyldodecane 0.2457 0.2622 0.2857 248.186 1.2124 -0.0031664 3.8018e-06 
2,3-dimethyldodecane 0.2457 0.2599 0.2857 256.889 1.1487 -0.0029429 3.5025e-06 
2-methyltridecane 0.2439 0.2637 0.2857 238.01 1.3121 -0.0033216 3.7907e-06 
3-methyltridecane 0.2439 0.2612 0.2857 245.342 1.262 -0.0032141 3.721e-06 
2,3-dimethyltridecane 0.246 0.2597 0.2857 268.872 1.2672 -0.0031972 3.6744e-06 
2,2-dimethyltridecane 0.2457 0.2651 0.2857 246.228 1.3897 -0.0034614 3.8621e-06 
2,4-dimethyltridecane 0.246 0.2617 0.2857 258.507 1.3429 -0.0034546 4.0075e-06 
2-methyltetradecane 0.2443 0.2635 0.2857 243.171 1.4744 -0.0036658 4.0227e-06 
3-methyltetradecane 0.2443 0.2612 0.2857 260.001 1.3602 -0.0034205 3.8556e-06 
2,2-dimethyltetradecane 0.246 0.2648 0.2857 254.521 1.5282 -0.0037512 4.0535e-06 
2,4-dimethyltetradecane 0.2463 0.2613 0.2857 266.096 1.4888 -0.0037813 4.2498e-06 
2,3-dimethyltetradecane 0.2463 0.2595 0.2857 279.367 1.392 -0.0034617 3.8497e-06 
3-methylpentadecane 0.2447 0.2612 0.2857 269.556 1.4898 -0.0036995 4.0493e-06 
2-methylpentadecane 0.2447 0.2634 0.2857 258.868 1.5606 -0.0038431 4.1357e-06 
2,2,4,4,6,8,8-heptamethylnonane 0.3914 0.4019 0.4909 264.816 1.3164 -0.0032846 3.7142e-06 
2,3-dimethylpentadecane 0.2465 0.2595 0.2857 288.237 1.5229 -0.0037354 4.028e-06 
2,4-dimethylpentadecane 0.2465 0.2611 0.2857 272.838 1.6349 -0.0040964 4.4665e-06 
2,2-dimethylpentadecane 0.2463 0.2646 0.2857 261.042 1.674 -0.0040528 4.2497e-06 
2-methylhexadecane 0.245 0.2632 0.2857 265.364 1.7041 -0.0041398 4.3279e-06 
3-methylhexadecane 0.245 0.2612 0.2857 280.938 1.6015 -0.003928 4.1905e-06 
2,2-dimethylhexadecane 0.2465 0.2644 0.2857 265.688 1.8268 -0.0043649 4.4495e-06 
2,3-dimethylhexadecane 0.2467 0.2594 0.2857 295.419 1.6591 -0.0040161 4.2074e-06 
2,4-dimethylhexadecane 0.2467 0.2609 0.2857 277.658 1.7881 -0.0044222 4.6869e-06 
2-methylheptadecane 0.2453 0.2632 0.2857 279.598 1.79 -0.0043093 4.4257e-06 
3-methylheptadecane 0.2453 0.2612 0.2857 289.925 1.7231 -0.0041737 4.34e-06 
2,2-dimethylheptadecane 0.2467 0.2642 0.2857 44.454 3.826 -0.0084211 7.2092e-06 
2,4-dimethylheptadecane 0.2469 0.2607 0.2857 280.686 1.9462 -0.0047529 4.9057e-06 
2,3-dimethylheptadecane 0.2469 0.2594 0.2857 301.04 1.7985 -0.0042983 4.3831e-06 
3-methyloctadecane 0.2283 0.2454 0.2566 299.72 1.8324 -0.0043907 4.4678e-06 
2-methyloctadecane 0.2125 0.2303 0.244 296.291 1.8537 -0.0044329 4.4929e-06 
2,4-dimethyloctadecane 0.2471 0.2607 0.2857 283.387 2.0973 -0.0050539 5.086e-06 
2,3-dimethyloctadecane 0.2471 0.2596 0.2857 306.414 1.9307 -0.0045519 4.5235e-06 
2,2-dimethyloctadecane 0.2469 0.2642 0.2857 -6.949 4.3224 -0.0093056 7.7085e-06 
3-methylnonadecane 0.2363 0.2546 0.2621 307.863 1.9445 -0.0046091 4.5928e-06 
2-methylnonadecane 0.215 0.2343 0.2425 298.108 2.0064 -0.0047309 4.6677e-06 
2,6,10,14-tetramethylhexadecane 0.46649 0.567 0.52045 572.5651 0.28366 -0.00026274 7.3251e-07 
2,6,11,15-tetramethylhexadecane 0.46005 0.56474 0.50421 574.3299 0.27771 -0.00025383 7.0181e-07 
2,2,3-trimethylheptadecane 0.45438 0.56155 0.48707 571.0632 0.2499 -0.00018104 5.6148e-07 
4,8,12-trimethylheptadecane 0.45365 0.55644 0.49538 574.2583 0.26845 -0.00021787 6.9296e-07 
2,2,15,15-tetramethylhexadecane 0.47015 0.59282 0.54242 581.5255 0.27593 -0.00027537 6.7418e-07 
2,6,10,15-tetramethylhexadecane 0.45911 0.56136 0.51083 575.349 0.25631 -0.00018997 6.2782e-07 
2,3,4,6-tetramethylhexadecane 0.46163 0.56093 0.50677 574.3287 0.27235 -0.00022735 6.9454e-07 
2,2,4,4,6,6,8,8,10-nonamethylundecane 0.49882 0.587 0.54416 558.3136 0.23361 -0.00012973 6.0317e-07 
2,6,11-trimethylheptadecane 0.45294 0.5569 0.49942 575.867 0.2552 -0.00018875 6.3392e-07 
3,7,11,11-tetramethylhexadecane 0.47665 0.57863 0.53104 574.3668 0.2821 -0.00024696 7.3981e-07 
7,8,9,10-tetramethylhexadecane 0.46949 0.56472 0.5132 572.7439 0.29334 -0.00028225 7.7436e-07 
2,4,6-trimethylheptadecane 0.45435 0.55867 0.49486 575.8419 0.25817 -0.00019177 6.6302e-07 
2,2,4,7,10,12,12-heptamethyltridecane 0.48153 0.57548 0.51803 576.7034 0.22758 -9.7105e-05 4.8472e-07 
2,5,12,15-tetramethylhexadecane 0.45532 0.56184 0.49512 576.2125 0.25405 -0.00018846 6.114e-07 
3,6,10,14-tetramethylhexadecane 0.45789 0.55693 0.49898 572.4422 0.27922 -0.00025179 7.1964e-07 
2,5,11-trimethylheptadecane 0.45234 0.55686 0.49844 575.1179 0.25967 -0.00020149 6.4648e-07 
2,4,6,10-tetramethylhexadecane 0.4691 0.5688 0.52362 575.0669 0.27164 -0.00022404 7.2874e-07 
3,4,5,6,9,10,11-heptamethyltridecane 0.47537 0.55685 0.48535 571.5036 0.2931 -0.00029895 7.8659e-07 
2,4,6,8,11,12-hexamethyltetradecane 0.48007 0.57095 0.53125 570.6423 0.28785 -0.00028013 7.7693e-07 
6,6,11,11-tetramethylhexadecane 0.46861 0.56969 0.51863 576.1612 0.29177 -0.0002893 7.541e-07 
2,6,7,8,8,12-hexamethyltetradecane 0.49236 0.58586 0.54379 570.4441 0.26923 -0.00021723 6.6262e-07 
5,5,11,11-tetramethylhexadecane 0.46958 0.57001 0.51755 570.9844 0.28816 -0.00028237 7.5279e-07 
2,4,6,9,11,13-hexamethyltetradecane 0.47984 0.57471 0.53974 574.5363 0.2992 -0.00032228 8.0667e-07 
2,13,14-trimethylheptadecane 0.45233 0.55685 0.49011 575.7984 0.24778 -0.00016664 5.9548e-07 
3,13,14-trimethylheptadecane 0.45363 0.55509 0.49378 574.553 0.25798 -0.00019606 6.212e-07 
3,4,14-trimethylheptadecane 0.45385 0.55592 0.49616 571.5828 0.26917 -0.00022874 6.6077e-07 
3,4,15-trimethylheptadecane 0.45472 0.55755 0.50052 573.4253 0.25664 -0.00019741 6.0243e-07 
4,12,13-trimethylheptadecane 0.45412 0.55503 0.49319 574.0742 0.25589 -0.00018805 6.3824e-07 
4,5,13-trimethylheptadecane 0.45358 0.55458 0.49241 573.0172 0.26955 -0.00022894 6.7644e-07 
4,5,14-trimethylheptadecane 0.45512 0.55716 0.49659 574.2453 0.25678 -0.00019131 6.3065e-07 
4,6,8,10,12-pentamethylpentadecane 0.47644 0.57221 0.53 573.3301 0.31058 -0.00034185 8.4532e-07 
3,3,14,14-tetramethylhexadecane 0.46636 0.5692 0.51368 569.7873 0.30544 -0.00034126 7.9066e-07 
2,3,3-trimethylheptadecane 0.46006 0.56522 0.50397 570.1891 0.25677 -0.0001982 5.8149e-07 
2,2,3,3,4,4,5,5-octamethyldodecane 0.48657 0.56375 0.48343 554.2512 0.27432 -0.0002682 7.2844e-07 
2,3,4,5,6,7,8,9,10-nonamethylundecane 0.487 0.56616 0.49113 568.157 0.28619 -0.00029175 7.5598e-07 
2,2,4,4-tetramethylhexadecane 0.46924 0.57454 0.51186 572.6577 0.25175 -0.00018487 6.3281e-07 
3,4,5,6,7,8,9,10-octamethyldodecane 0.48105 0.55895 0.48467 565.0893 0.31953 -0.00039787 9.1113e-07 
2,2,4,4,6,6,8,10,10-nonamethylundecane 0.49648 0.58292 0.53559 555.9397 0.20817 -5.0018e-05 5.1263e-07 
2,4,7,8,10,12-hexamethyltetradecane 0.4816 0.57281 0.53414 570.4994 0.28561 -0.00027176 7.6315e-07 
2,4,5,7,8,8,12-heptamethyltridecane 0.48825 0.57673 0.52038 575.4581 0.26567 -0.00021521 6.9453e-07 
2,4,6,8,10,12-hexamethyltetradecane 0.48464 0.57724 0.54457 577.452 0.31571 -0.00036343 8.7559e-07 
2,4,6,12,14-pentamethylpentadecane 0.47181 0.57048 0.52065 574.6282 0.2848 -0.00027509 7.6485e-07 
2,2,3,4,6,6,7,8,10-nonamethylundecane 0.49553 0.57813 0.52751 554.3452 0.24902 -0.00018232 6.4537e-07 
2,4,16-trimethylheptadecane 0.46114 0.57288 0.51557 578.4175 0.25544 -0.00019059 6.0933e-07 
2,2,4,4,6,8,8,10,10-nonamethylundecane 0.49909 0.57807 0.52638 559.8157 0.26023 -0.00021588 6.7639e-07 
2,2,3,5,7,8,9,9,10-nonamethylundecane 0.48146 0.57251 0.51666 570.0332 0.26596 -0.00020799 6.6453e-07 
2,3,5,6,6,10-hexamethyltetradecane 0.47025 0.56924 0.52626 572.4742 0.28369 -0.00025743 7.6255e-07 
3,7,11,13-tetramethylhexadecane 0.45564 0.55573 0.49732 573.055 0.25701 -0.00019383 6.1561e-07 
3,4,5-trimethylheptadecane 0.45178 0.55334 0.49028 574.9584 0.26026 -0.00019583 6.6674e-07 
3,6,8-trimethylheptadecane 0.45641 0.55651 0.49677 574.1926 0.26124 -0.0001992 6.5344e-07 
4,5,6-trimethylheptadecane 0.46488 0.5695 0.50645 576.0233 0.27514 -0.00022963 7.1839e-07 
8,8,10-trimethylheptadecane 0.49908 0.58602 0.5386 562.5209 0.26359 -0.00022486 6.9392e-07 
2,3,5,6,6,7,8,10-octamethyldodecane 0.4753 0.56762 0.51493 579.7421 0.28887 -0.00027609 7.3634e-07 
2,5,6,9,10,13-hexamethyltetradecane 0.45718 0.55754 0.49736 574.4333 0.26495 -0.00020818 6.8377e-07 
5,7,8-trimethylheptadecane 0.45236 0.55653 0.49674 574.789 0.26517 -0.00021367 6.6503e-07 
3,7,14-trimethylheptadecane 0.48453 0.56464 0.49589 560.7923 0.30385 -0.00035411 8.6109e-07 
2,3,4,5,6,7,8,9-octamethyldodecane 0.48617 0.5767 0.52517 575.5002 0.28316 -0.00025608 6.9778e-07 
3,4,4,10,11,12-hexamethyltetradecane 0.2964 0.37181 0.2309 575.5729 0.26205 -0.00021865 6.593e-07 
2,2,11,11-tetramethylhexadecane 0.4561 0.56333 0.48987 577.791 0.25852 -0.00019742 6.4238e-07 
2,11,11-trimethylheptadecane 0.48693 0.57678 0.54205 574.172 0.28986 -0.0002792 7.751e-07 
3,4,5,7,8,10-hexamethyltetradecane 0.47053 0.56268 0.50736 573.6812 0.27433 -0.00023003 7.0256e-07 
2,3,4,5,12-pentamethylpentadecane 0.47018 0.55056 0.47024 561.6347 0.29779 -0.00033399 8.3929e-07 
2,4,5,6,7,8,9,10-octamethyldodecane 0.47683 0.56826 0.52194 573.8059 0.29079 -0.00027766 7.7498e-07 
2,5,6,7,9,13-hexamethyltetradecane 0.4614 0.56386 0.50256 572.8401 0.27112 -0.00022135 6.8563e-07 
7,7,8-trimethylheptadecane 0.48629 0.58139 0.52765 568.2165 0.21816 -7.8815e-05 5.306e-07 
2,2,4,4,9,9,11,11-octamethyldodecane 0.2336 0.29004 0.18233 577.8454 0.28976 -0.0002782 7.2017e-07 
5,9,13-trimethylheptadecane 0.49897 0.59226 0.55828 571.4833 0.26697 -0.00020719 6.9405e-07 
3,5,7,7,8,9-hexamethyltetradecane 0.45232 0.55535 0.49235 574.2046 0.27145 -0.00022781 7.0398e-07 
3,10,12-trimethylheptadecane 0.44874 0.55553 0.48411 575.7617 0.25305 -0.00018433 6.0969e-07 
2,12,15-trimethylheptadecane 0.46735 0.55852 0.50018 574.3499 0.27044 -0.00021841 6.9359e-07 
2,8,11,12,13-pentamethylpentadecane 0.47377 0.56582 0.51279 573.4702 0.28933 -0.00027414 7.9413e-07 
4,7,8,9,11-pentamethylpentadecane 0.468 0.55907 0.50107 569.8537 0.27497 -0.00023591 7.2689e-07 
3,6,8,11,12-pentamethylpentadecane 0.48923 0.5777 0.52436 570.2566 0.27592 -0.00024185 6.7501e-07 
3,3,4,4,8,12-hexamethyltetradecane 0.45957 0.56553 0.49583 576.2167 0.25546 -0.00018339 6.162e-07 
2,5,14,14-tetramethylhexadecane 0.45283 0.55692 0.49716 575.832 0.25864 -0.00019462 6.5024e-07 
2,6,9-trimethylheptadecane 0.48021 0.57483 0.52314 574.5237 0.26992 -0.00021043 6.9203e-07 
4,5,6,11,11-pentamethylpentadecane 0.48329 0.5805 0.54218 573.7482 0.26336 -0.00020468 6.6243e-07 
2,3,3,7,7-pentamethylpentadecane 0.46337 0.5581 0.49669 573.7964 0.2708 -0.00021942 6.9684e-07 
2,6,7,10,14-pentamethylpentadecane 0.4521 0.56065 0.49888 576.5281 0.26146 -0.00020589 6.3523e-07 
2,4,15-trimethylheptadecane 0.4575 0.56518 0.49436 577.2592 0.26221 -0.00020462 6.4315e-07 
2,10,10-trimethylheptadecane 0.45329 0.556 0.49512 575.6312 0.25767 -0.00019153 6.3689e-07 
2,11,12-trimethylheptadecane 0.46563 0.56419 0.51725 576.4208 0.27215 -0.00023807 6.332e-07 
2,3,14,15-tetramethylhexadecane 0.45507 0.55736 0.49907 576.1883 0.25221 -0.00017682 6.1861e-07 
2,5,6-trimethylheptadecane 0.45242 0.55523 0.49318 575.6645 0.25094 -0.00017577 6.116e-07 
2,12,13-trimethylheptadecane 0.46553 0.55644 0.49615 573.8707 0.27163 -0.00022409 6.9584e-07 
2,5,8,11,12-pentamethylpentadecane 0.45741 0.5594 0.50097 575.2042 0.2627 -0.00020191 6.7973e-07 
6,8,11-trimethylheptadecane 0.47986 0.57156 0.5324 570.097 0.29037 -0.00028648 7.4491e-07 
